heart_rate_bpm,sweat_microsiemens,skin_temp_celsius,grip_force_newton,ecg_signal,rr_interval_ms,qrs_duration_ms,st_deviation_mv,qt_interval_ms,driver_id,timestamp_offset,condition_label
79.53,3.21,33.54,16.17,-0.0194,843.59,95.01,-0.002,369.69,0,0,0
75.57,3.14,33.7,16.7,0.0274,860.6,90.45,0.018,415.7,0,1,0
76.02,3.45,33.68,16.14,0.0118,890.87,85.6,-0.014,383.12,0,2,0
73.88,3.17,33.56,17.76,-0.0289,814.86,91.64,0.042,408.5,0,3,0
77.09,3.3,33.72,16.05,0.0239,751.02,91.39,-0.019,418.66,0,4,0
72.11,3.29,33.73,17.38,-0.0288,871.61,84.49,-0.012,417.41,0,5,0
77.71,3.37,33.46,16.79,-0.0035,810.89,90.12,-0.015,362.41,0,6,0
76.37,3.44,33.66,16.64,-0.0113,835.37,81.92,0.025,389.47,0,7,0
71.22,3.09,33.67,15.47,-0.0148,890.66,95.58,0.046,360.42,0,8,0
69.72,3.05,33.5,14.27,-0.0169,792.13,94.54,-0.006,365.24,0,9,0
74.35,3.03,33.8,16.72,0.0053,789.62,87.14,-0.043,397.93,0,10,0
77.36,3.02,33.59,14.26,-0.005,854.33,94.39,0.027,397.76,0,11,0
69.85,3.39,33.62,14.26,0.0182,834.76,84.26,0.037,378.41,0,12,0
77.81,3.33,33.77,14.42,-0.0221,795.27,80.96,0.014,406.29,0,13,0
70.68,3.49,33.53,16.51,-0.0176,882.57,83.53,0.034,377.32,0,14,0
69.13,3.45,33.54,17.88,-0.0019,830.58,87.17,0.041,377.91,0,15,0
69.03,3.1,33.68,16.59,-0.0164,785.63,97.47,0.038,375.02,0,16,0
78.4,3.49,33.74,15.19,0.027,880.37,96.73,0.005,401.59,0,17,0
71.73,3.45,33.7,15.63,0.0184,765.58,97.87,0.014,362.56,0,18,0
78.56,3.27,33.65,15.75,-0.0147,855.95,80.68,0.033,368.18,0,19,0
71.04,3.0,33.73,15.64,0.0213,798.93,96.79,-0.046,386.96,0,20,0
77.18,3.29,33.63,17.14,-0.0154,844.48,87.28,-0.05,398.73,0,21,0
75.79,3.15,33.7,17.78,0.0237,824.21,90.32,0.012,379.21,0,22,0
74.17,3.14,33.42,14.97,-0.0147,770.89,92.06,0.042,383.04,0,23,0
69.12,3.3,33.52,17.18,0.0018,872.82,93.0,-0.043,379.94,0,24,0
70.61,3.07,33.67,16.3,0.0057,777.65,90.76,0.015,364.84,0,25,0
68.63,3.04,33.61,14.62,-0.0099,839.99,97.08,-0.006,370.43,0,26,0
74.37,3.18,33.62,14.59,0.002,780.66,87.2,0.014,383.33,0,27,0
75.2,3.25,33.49,16.51,0.024,805.98,91.83,-0.035,370.31,0,28,0
70.92,3.25,33.6,17.33,0.0279,827.71,88.19,-0.041,392.59,0,29,0
