heart_rate_bpm,sweat_microsiemens,skin_temp_celsius,grip_force_newton,ecg_signal,rr_interval_ms,qrs_duration_ms,st_deviation_mv,qt_interval_ms,driver_id,timestamp_offset,condition_label
74.18,3.21,33.59,16.01,0.0184,806.43,91.67,0.01,390.41,1,0,0
74.43,3.21,33.58,16.08,0.0191,809.4,91.89,0.012,392.14,1,1,0
74.06,3.21,33.58,16.05,0.0186,810.38,92.4,0.009,393.79,1,2,0
74.31,3.23,33.58,16.1,0.0169,810.01,91.42,0.006,392.9,1,3,0
74.59,3.23,33.59,16.04,0.0159,812.51,91.47,0.003,391.72,1,4,0
74.94,3.24,33.58,16.06,0.0149,810.96,90.52,0.005,391.45,1,5,0
74.83,3.24,33.56,16.07,0.0155,812.53,90.29,0.0,390.79,1,6,0
74.86,3.25,33.56,16.05,0.016,810.63,91.08,0.005,391.85,1,7,0
75.24,3.28,33.57,15.96,0.017,807.49,91.49,0.002,390.02,1,8,0
75.27,3.27,33.56,16.01,0.0158,804.07,90.98,0.006,389.21,1,9,0
75.04,3.3,33.57,16.03,0.0154,806.61,90.58,0.002,389.16,1,10,0
75.38,3.3,33.57,16.1,0.014,807.53,90.65,0.005,388.01,1,11,0
75.38,3.28,33.56,16.18,0.016,808.41,89.96,0.003,389.65,1,12,0
75.24,3.28,33.57,16.12,0.0165,809.42,89.56,0.002,388.9,1,13,0
75.34,3.27,33.56,16.17,0.0166,812.52,89.91,0.006,387.86,1,14,0
75.34,3.3,33.57,16.26,0.0152,814.13,90.11,0.002,385.86,1,15,0
75.14,3.29,33.57,16.32,0.0145,811.35,89.81,-0.003,385.8,1,16,0
75.26,3.29,33.57,16.38,0.0126,809.98,89.99,-0.007,385.76,1,17,0
75.22,3.31,33.56,16.31,0.0132,809.29,90.68,-0.007,387.7,1,18,0
75.56,3.31,33.54,16.32,0.0132,812.79,90.9,-0.01,387.72,1,19,0
75.19,3.33,33.53,16.24,0.0133,815.26,91.45,-0.008,388.49,1,20,0
75.02,3.34,33.52,16.18,0.0138,815.83,92.37,-0.006,388.11,1,21,0
75.39,3.33,33.52,16.19,0.0146,811.99,92.1,-0.008,388.59,1,22,0
75.5,3.33,33.51,16.16,0.0154,814.91,92.8,-0.006,387.98,1,23,0
75.46,3.33,33.5,16.22,0.0134,812.22,92.94,-0.004,388.32,1,24,0
75.24,3.32,33.48,16.18,0.0146,813.7,93.31,-0.003,387.18,1,25,0
74.96,3.31,33.47,16.11,0.0149,813.95,93.14,-0.008,385.39,1,26,0
74.79,3.31,33.49,16.15,0.0149,816.9,92.48,-0.007,386.64,1,27,0
74.58,3.31,33.49,16.15,0.0164,814.63,91.76,-0.011,385.89,1,28,0
74.5,3.29,33.48,16.21,0.0152,815.93,91.69,-0.013,387.0,1,29,0
74.26,3.27,33.47,16.27,0.0169,814.65,92.58,-0.011,386.44,1,30,0
74.65,3.27,33.47,16.2,0.0188,815.89,91.76,-0.012,386.95,1,31,0
74.69,3.28,33.48,16.19,0.0178,814.0,91.11,-0.013,386.63,1,32,0
75.05,3.26,33.47,16.25,0.0179,815.57,91.22,-0.013,385.76,1,33,0
74.8,3.25,33.49,16.2,0.0161,818.19,90.59,-0.014,385.23,1,34,0
74.69,3.24,33.51,16.1,0.0142,820.21,90.33,-0.015,384.62,1,35,0
74.5,3.24,33.51,16.04,0.0137,823.06,90.44,-0.02,386.03,1,36,0
74.9,3.27,33.52,15.95,0.0118,823.98,89.94,-0.024,387.72,1,37,0
74.78,3.25,33.51,15.88,0.012,824.66,89.28,-0.028,386.03,1,38,0
74.91,3.27,33.51,15.78,0.0105,827.87,89.96,-0.031,387.42,1,39,0
75.27,3.26,33.51,15.71,0.0118,826.07,89.34,-0.031,388.53,1,40,0
75.1,3.24,33.52,15.7,0.0104,824.13,89.77,-0.029,388.57,1,41,0
74.91,3.24,33.53,15.75,0.0106,822.83,89.11,-0.033,390.52,1,42,0
75.0,3.26,33.53,15.74,0.0095,824.95,89.5,-0.032,392.45,1,43,0
75.18,3.27,33.55,15.7,0.0079,825.56,90.09,-0.028,392.03,1,44,0
75.06,3.29,33.54,15.67,0.0076,823.64,89.66,-0.026,392.04,1,45,0
75.37,3.32,33.55,15.67,0.0087,821.63,89.25,-0.029,391.99,1,46,0
75.26,3.3,33.56,15.59,0.0097,820.7,88.28,-0.032,392.71,1,47,0
75.48,3.28,33.58,15.66,0.0113,818.07,89.03,-0.033,392.99,1,48,0
75.46,3.28,33.57,15.69,0.013,821.21,89.69,-0.037,392.72,1,49,0
75.61,3.31,33.58,15.63,0.0146,819.78,90.36,-0.036,392.34,1,50,0
75.36,3.31,33.57,15.64,0.0164,818.13,90.09,-0.04,394.28,1,51,0
75.5,3.31,33.59,15.63,0.0152,818.77,90.59,-0.043,392.31,1,52,0
75.71,3.29,33.59,15.54,0.0165,819.56,91.09,-0.043,392.88,1,53,0
75.92,3.28,33.61,15.5,0.0154,822.7,91.75,-0.041,392.8,1,54,0
76.28,3.26,33.62,15.41,0.0163,825.75,91.49,-0.045,392.15,1,55,0
76.1,3.24,33.62,15.37,0.0165,828.3,90.84,-0.043,393.8,1,56,0
76.19,3.24,33.61,15.34,0.0148,826.85,90.0,-0.046,393.89,1,57,0
76.58,3.25,33.6,15.32,0.0144,827.23,90.13,-0.042,393.24,1,58,0
76.25,3.26,33.61,15.24,0.0142,830.51,91.0,-0.042,393.13,1,59,0
